Sample in Buffer	Sample in Window	/dadata
0	0	233	
1	1	232	
2	2	231	
3	3	230	
4	4	229	
5	5	228	
6	6	227	
7	7	226	
8	8	225	
9	9	224	
10	10	223	
11	11	222	
12	12	221	
13	13	220	
14	14	219	
15	15	218	
16	16	217	
17	17	215	
18	18	214	
19	19	213	
20	20	212	
21	21	211	
22	22	210	
23	23	208	
24	24	207	
25	25	206	
26	26	205	
27	27	203	
28	28	202	
29	29	201	
30	30	200	
31	31	197	
32	32	196	
33	33	194	
34	34	193	
35	35	192	
36	36	190	
37	37	189	
38	38	188	
39	39	186	
40	40	185	
41	41	183	
42	42	182	
43	43	181	
44	44	179	
45	45	178	
46	46	176	
47	47	175	
48	48	173	
49	49	172	
50	50	170	
51	51	169	
52	52	167	
53	53	166	
54	54	165	
55	55	163	
56	56	162	
57	57	160	
58	58	158	
59	59	157	
60	60	155	
61	61	154	
62	62	152	
63	63	151	
64	64	149	
65	65	148	
66	66	146	
67	67	145	
68	68	143	
69	69	142	
70	70	140	
71	71	138	
72	72	137	
73	73	134	
74	74	132	
75	75	131	
76	76	129	
77	77	127	
78	78	126	
79	79	124	
80	80	123	
81	81	121	
82	82	120	
83	83	118	
84	84	117	
85	85	115	
86	86	113	
87	87	112	
88	88	110	
89	89	109	
90	90	107	
91	91	106	
92	92	104	
93	93	103	
94	94	101	
95	95	100	
96	96	98	
97	97	97	
98	98	95	
99	99	93	
100	100	92	
101	101	90	
102	102	89	
103	103	88	
104	104	86	
105	105	85	
106	106	83	
107	107	82	
108	108	80	
109	109	79	
110	110	77	
111	111	76	
112	112	74	
113	113	73	
114	114	72	
115	115	69	
116	116	67	
117	117	66	
118	118	65	
119	119	63	
120	120	62	
121	121	61	
122	122	59	
123	123	58	
124	124	57	
125	125	55	
126	126	54	
127	127	53	
128	128	52	
129	129	50	
130	130	49	
131	131	48	
132	132	47	
133	133	45	
134	134	44	
135	135	43	
136	136	42	
137	137	41	
138	138	40	
139	139	38	
140	140	37	
141	141	36	
142	142	35	
143	143	34	
144	144	33	
145	145	32	
146	146	31	
147	147	30	
148	148	29	
149	149	28	
150	150	27	
151	151	26	
152	152	25	
153	153	24	
154	154	23	
155	155	22	
156	156	21	
157	157	20	
158	158	19	
159	159	18	
160	160	17	
161	161	17	
162	162	16	
163	163	15	
164	164	14	
165	165	14	
166	166	13	
167	167	12	
168	168	12	
169	169	11	
170	170	10	
171	171	10	
172	172	9	
173	173	9	
174	174	8	
175	175	7	
176	176	7	
177	177	6	
178	178	6	
179	179	5	
180	180	5	
181	181	5	
182	182	4	
183	183	4	
184	184	3	
185	185	3	
186	186	3	
187	187	2	
188	188	2	
189	189	2	
190	190	2	
191	191	1	
192	192	1	
193	193	1	
194	194	1	
195	195	1	
196	196	0	
197	197	0	
198	198	0	
199	199	0	
200	200	0	
201	201	0	
202	202	0	
203	203	0	
204	204	0	
205	205	0	
206	206	0	
207	207	0	
208	208	0	
209	209	0	
210	210	1	
211	211	1	
212	212	1	
213	213	1	
214	214	1	
215	215	2	
216	216	2	
217	217	2	
218	218	2	
219	219	3	
220	220	3	
221	221	3	
222	222	4	
223	223	4	
224	224	5	
225	225	5	
226	226	5	
227	227	6	
228	228	6	
229	229	7	
230	230	7	
231	231	8	
232	232	9	
233	233	9	
234	234	10	
235	235	10	
236	236	11	
237	237	12	
238	238	12	
239	239	13	
240	240	14	
241	241	15	
242	242	16	
243	243	17	
244	244	17	
245	245	18	
246	246	19	
247	247	20	
248	248	21	
249	249	21	
250	250	22	
251	251	23	
252	252	24	
253	253	25	
254	254	26	
255	255	27	
256	256	28	
257	257	29	
258	258	30	
259	259	31	
260	260	32	
261	261	33	
262	262	34	
263	263	35	
264	264	36	
265	265	37	
266	266	38	
267	267	40	
268	268	41	
269	269	42	
270	270	43	
271	271	44	
272	272	45	
273	273	47	
274	274	48	
275	275	49	
276	276	50	
277	277	52	
278	278	53	
279	279	54	
280	280	55	
281	281	58	
282	282	59	
283	283	61	
284	284	62	
285	285	63	
286	286	65	
287	287	66	
288	288	67	
289	289	69	
290	290	70	
291	291	72	
292	292	73	
293	293	74	
294	294	76	
295	295	77	
296	296	79	
297	297	80	
298	298	82	
299	299	83	
300	300	85	
301	301	86	
302	302	88	
303	303	89	
304	304	90	
305	305	92	
306	306	93	
307	307	95	
308	308	97	
309	309	98	
310	310	100	
311	311	101	
312	312	103	
313	313	104	
314	314	106	
315	315	107	
316	316	109	
317	317	110	
318	318	112	
319	319	113	
320	320	115	
321	321	117	
322	322	118	
323	323	121	
324	324	123	
325	325	124	
326	326	126	
327	327	128	
328	328	129	
329	329	131	
330	330	132	
331	331	134	
332	332	135	
333	333	137	
334	334	138	
335	335	140	
336	336	142	
337	337	143	
338	338	145	
339	339	146	
340	340	148	
341	341	149	
342	342	151	
343	343	152	
344	344	154	
345	345	155	
346	346	157	
347	347	158	
348	348	160	
349	349	162	
350	350	163	
351	351	165	
352	352	166	
353	353	167	
354	354	169	
355	355	170	
356	356	172	
357	357	173	
358	358	175	
359	359	176	
360	360	178	
361	361	179	
362	362	181	
363	363	182	
364	364	183	
365	365	186	
366	366	188	
367	367	189	
368	368	190	
369	369	192	
370	370	193	
371	371	194	
372	372	196	
373	373	197	
374	374	198	
